Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Afghanistan,AFG,2010,11.7,21.30640465,17.6,23.13614792,2104.0,31411743.0,577336.19325,4520085.85526,273855.773545,288079.973047,1876099.0526700001,194622.538574,196019.88866199998,549341.6995979999,1948043.5657,317143.852362,116273.040134,154642.33619200002,324917.37966,567952.892791,742783.059933,334871.31265100004,1360054.2156200001,735221.531246,24433.0663623,638765.868135,90922.7342504,290588.77699600003,724795.5199470001,16.7
Afghanistan,AFG,2011,12.1,21.371974899999998,18.2,23.27301775,2107.0,32358260.0,556862.311919,4593755.25039,269694.25674499996,280599.41497,1844073.70075,190949.485902,181530.606773,555134.523343,1971675.11204,319631.29129,116430.64256600001,151209.587801,332445.81225,589829.9424310001,751911.877389,347341.66648,1300500.75908,721572.339289,7445.20677399,682412.283282,92927.7190985,293776.605049,657100.057414,17.2
Afghanistan,AFG,2012,12.5,21.44237223,18.9,23.41355274,2100.0,33397058.0,543752.688987,4410766.47621,274423.442709,276872.039201,1845900.39643,192721.523763,182148.076439,571672.632814,2008194.03696,326640.621369,119363.115619,153569.862631,345151.261084,614059.2712020001,778638.228748,362439.580531,1325674.7306600001,740365.483976,23421.8119965,696735.212957,96410.5450543,303832.637501,663862.287871,17.6
Afghanistan,AFG,2013,12.9,21.5086472,19.5,23.54970156,2090.0,34499915.0,559159.736902,3527350.6933699995,302079.587646,282475.205009,1919799.53463,205793.58459,221179.138408,615582.241007,2071797.8850599998,345323.934948,129282.005115,170308.104324,368447.57101799996,640738.0685630001,847821.5932100001,380193.163336,1557879.2538299998,838282.394294,12059.2734182,718251.148272,103157.339525,328380.48191,852112.5869529999,18.1
Albania,ALB,2010,54.8,26.24095647,44.2,25.60662053,3076.0,3204284.0,450.45695412199996,22361.70397,291.292521121,426.49913623199996,23910.0020827,7351.13037744,2007.45023558,99500.6999998,215653.017808,17249.630482599998,7702.55312121,8124.05155753,47919.17759190001,51700.0978517,34033.4886671,66935.3313098,79379.8162529,19418.320293,74.8651145334,607.606416977,9152.92246468,4701.93558738,40577.9338132,54.3
Albania,ALB,2011,55.8,26.32010579,44.5,25.64432705,3132.0,3215988.0,429.813619705,21246.3412928,271.185508346,343.301350441,23572.103538299998,7066.05271828,1974.5923848000002,99404.6919976,212529.27607,17089.2427254,7659.50816905,8024.30753952,47799.6982891,51683.52351580001,33851.0776427,67321.865868,78817.5520773,19536.0128528,84.3828632866,707.878529218,8957.22565901,4763.20889485,43222.5881351,55.1
Albania,ALB,2012,56.7,26.39507014,44.9,25.67464418,3184.0,3227373.0,420.76097484800005,20797.988727400003,284.242554239,338.737690863,23258.307161599998,6872.71200724,1955.85190468,99712.0231871,211711.27963499998,17102.7512155,7665.28676619,8007.23250492,48047.5177543,51754.9955874,33954.3615585,67950.7888748,78624.2799618,19293.9136386,85.2172315503,706.684347987,8759.46230264,4752.12457969,43372.4719399,55.8
Albania,ALB,2013,57.5,26.464979200000002,45.1,25.69953261,3193.0,3238316.0,410.170590465,20502.6309348,298.926857293,337.120430626,22978.1844407,6725.11683256,1949.42615431,100486.679159,212530.107887,17222.0161571,7695.77176975,8039.90004437,48351.2711545,51934.3125768,34162.3509862,68703.381981,78698.3618003,19373.048968,71.3369182625,632.094734412,8639.02528064,4715.48918276,43461.4445132,56.5
Algeria,DZA,2010,48.3,24.09122119,59.2,25.80067305,3142.0,35468208.0,40605.637388999996,411194.101518,20220.974538799997,50786.151016300006,1093812.10327,186725.924532,57970.077252400006,467518.23871899996,1207949.24347,230204.10103800002,85863.81333139999,89106.436833,559370.937479,814616.962989,680530.6021939999,711433.10066,1459360.79636,517759.98252200003,885.630247382,19605.2047988,64183.594483,35114.3886618,386367.75967199996,53.9
Algeria,DZA,2011,49.1,24.13508542,59.8,25.84694324,3217.0,35980193.0,39080.921370699994,399596.090681,19642.1281339,46119.055482699994,1047571.63861,182298.019507,57166.17840240001,479142.93743,1229954.18229,233579.53256999998,87699.11310689998,89508.046625,570500.870497,827223.014439,695981.048233,729982.37473,1433420.87607,519492.155592,1005.84808274,22246.8097152,65001.7672334,35573.574374,398517.023692,55.0
